example_id                                                    | status | run_time        |
------------------------------------------------------------- | ------ | --------------- |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:1:1]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:1:2]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:1:3]   | passed | 0.00009 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:2:1]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:2:2]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:2:3]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:3:1]   | passed | 0.00019 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:3:2]   | passed | 0.0002 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:3:3]   | passed | 0.00354 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:4:1]   | passed | 0.00031 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:4:2]   | passed | 0.00437 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:4:3]   | passed | 0.01693 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:5:1]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:5:2]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:5:3]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:5:4]   | passed | 0.00011 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:6:1]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:6:2]   | passed | 0.00009 seconds |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:6:3]   | passed | 0.0001 seconds  |
./spec/sidekiq/queue_throttled/configuration_spec.rb[1:6:4]   | passed | 0.00009 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:1:1]             | passed | 0.00014 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:1:2]             | passed | 0.00013 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:2:1]             | passed | 0.00015 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:2:2]             | passed | 0.00019 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:2:3]             | passed | 0.00012 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:2:4]             | passed | 0.00015 seconds |
./spec/sidekiq/queue_throttled/job_spec.rb[1:2:5]             | passed | 0.00017 seconds |
